iso_o,iso_d,indcode,tradevalue
BRA,BRA,1,126975.685291
CHN,BRA,1,141.028187
EU,BRA,1,360.9322509765625
IND,BRA,1,269.4206800000001
JPN,BRA,1,3.90747
ROW,BRA,1,2305.954345703125
USA,BRA,1,200.450363
BRA,CHN,1,19886.870394
CHN,CHN,1,1673100.761074001
EU,CHN,1,2218.1083984375
IND,CHN,1,539.629339
JPN,CHN,1,174.733288
ROW,CHN,1,31257.275390625
USA,CHN,1,15061.26
BRA,EU,1,4995.81103515625
CHN,EU,1,2205.324462890625
EU,EU,1,537693.875
IND,EU,1,843.36181640625
JPN,EU,1,35.915283203125
ROW,EU,1,41714.87890625
USA,EU,1,3460.98974609375
BRA,IND,1,386.4741640000001
CHN,IND,1,76.331718
EU,IND,1,189.7826995849609
IND,IND,1,495028.586843
JPN,IND,1,1.063969
ROW,IND,1,6569.44482421875
USA,IND,1,238.812827
BRA,JPN,1,902.156369
CHN,JPN,1,1715.612058
EU,JPN,1,516.0945434570313
IND,JPN,1,65.187438
JPN,JPN,1,97592.767567
ROW,JPN,1,7739.205078125
USA,JPN,1,4494.949299
BRA,ROW,1,7207.603515625
CHN,ROW,1,10747.79296875
EU,ROW,1,20110.376953125
IND,ROW,1,2820.386474609375
JPN,ROW,1,330.4146423339844
ROW,ROW,1,2014830.75
USA,ROW,1,26667.337890625
BRA,USA,1,1250.354236
CHN,USA,1,1488.085167
EU,USA,1,2812.827392578125
IND,USA,1,1618.687051
JPN,USA,1,40.57901999999999
ROW,USA,1,29901.82421875
USA,USA,1,407333.13711
BRA,BRA,2,7642.126531999999
CHN,BRA,2,145.143327
EU,BRA,2,6.367588043212891
IND,BRA,2,1.03274
JPN,BRA,2,2.340396
ROW,BRA,2,252.4042510986328
USA,BRA,2,63.556877
BRA,CHN,2,23.332901
CHN,CHN,2,186868.933248
EU,CHN,2,47.08120727539063
IND,CHN,2,17.180888
JPN,CHN,2,9.377956999999999
ROW,CHN,2,1463.249145507813
USA,CHN,2,914.8509509999998
BRA,EU,2,10.13192558288574
CHN,EU,2,32.57777786254883
EU,EU,2,15357.48828125
IND,EU,2,23.05194854736328
JPN,EU,2,35.55064010620117
ROW,EU,2,4807.52587890625
USA,EU,2,1186.633544921875
BRA,IND,2,2.196313
CHN,IND,2,4.203863999999999
EU,IND,2,3.34741997718811
IND,IND,2,31650.102095
JPN,IND,2,.6586240000000001
ROW,IND,2,140.849853515625
USA,IND,2,3.125943
BRA,JPN,2,1.968534
CHN,JPN,2,173.871815
EU,JPN,2,13.66604995727539
IND,JPN,2,.64961
JPN,JPN,2,12952.329759
ROW,JPN,2,1258.352905273438
USA,JPN,2,195.734039
BRA,ROW,2,25.89142227172852
CHN,ROW,2,258.1358947753906
EU,ROW,2,353.5541076660156
IND,ROW,2,86.78228759765625
JPN,ROW,2,69.45365905761719
ROW,ROW,2,205667.5
USA,ROW,2,1295.502075195313
BRA,USA,2,131.187978
CHN,USA,2,448.709168
EU,USA,2,1429.90869140625
IND,USA,2,460.748724
JPN,USA,2,381.612318
ROW,USA,2,12240.0712890625
USA,USA,2,1831.955109
BRA,BRA,3,29727.08308000001
CHN,BRA,3,49.523486
EU,BRA,3,30.09287071228027
IND,BRA,3,.01
JPN,BRA,3,.013325
ROW,BRA,3,6516.31298828125
USA,BRA,3,1382.781584
BRA,CHN,3,7344.975558
CHN,CHN,3,541508.0273849998
EU,CHN,3,2857.1923828125
IND,CHN,3,.01
JPN,CHN,3,.6340650000000001
ROW,CHN,3,173037.078125
USA,CHN,3,6231.858320999998
BRA,EU,3,1723.406860351563
CHN,EU,3,3748.467041015625
EU,EU,3,57636.07421875
IND,EU,3,.3084329962730408
JPN,EU,3,.5847240090370178
ROW,EU,3,266817.8125
USA,EU,3,10209.3984375
BRA,IND,3,1518.145435
CHN,IND,3,202.42797
EU,IND,3,122.1906204223633
IND,IND,3,55750.27251
JPN,IND,3,.047876
ROW,IND,3,109240.328125
USA,IND,3,2090.511545000001
BRA,JPN,3,.7917930000000001
CHN,JPN,3,569.65669
EU,JPN,3,74.30888366699219
IND,JPN,3,.01
JPN,JPN,3,1147.652812
ROW,JPN,3,114403.453125
USA,JPN,3,2379.374864000001
BRA,ROW,3,2887.166748046875
CHN,ROW,3,3085.69677734375
EU,ROW,3,13083.7685546875
IND,ROW,3,146.3250579833984
JPN,ROW,3,7.241139888763428
ROW,ROW,3,1104089.5
USA,ROW,3,30071.267578125
BRA,USA,3,3703.638213
CHN,USA,3,590.7220349999998
EU,USA,3,758.151611328125
IND,USA,3,23.37652700000001
JPN,USA,3,.3349959999999999
ROW,USA,3,143733.359375
USA,USA,3,273901.8002410001
BRA,BRA,4,10356.741616
CHN,BRA,4,11.011006
EU,BRA,4,55.68980407714844
IND,BRA,4,.3846179999999999
JPN,BRA,4,.156003
ROW,BRA,4,1561.632568359375
USA,BRA,4,51.50353199999998
BRA,CHN,4,11216.863856
CHN,CHN,4,277310.4999170001
EU,CHN,4,2421.211669921875
IND,CHN,4,799.0752830000001
JPN,CHN,4,97.04516599999997
ROW,CHN,4,106776.703125
USA,CHN,4,2226.820722
BRA,EU,4,2760.49755859375
CHN,EU,4,327.1458129882813
EU,EU,4,42049.859375
IND,EU,4,92.76953125
JPN,EU,4,11.22952365875244
ROW,EU,4,22598.11328125
USA,EU,4,1213.835693359375
BRA,IND,4,387.6216640000001
CHN,IND,4,55.079252
EU,IND,4,99.40872955322266
IND,IND,4,23854.219282
JPN,IND,4,.4046480000000001
ROW,IND,4,9305.0859375
USA,IND,4,41.571242
BRA,JPN,4,1643.734135
CHN,JPN,4,422.078247
EU,JPN,4,191.107666015625
IND,JPN,4,69.92355500000001
JPN,JPN,4,3850.224095
ROW,JPN,4,16697.150390625
USA,JPN,4,826.992934
BRA,ROW,4,3004.892578125
CHN,ROW,4,2782.48681640625
EU,ROW,4,4892.68701171875
IND,ROW,4,467.1308288574219
JPN,ROW,4,255.5632781982422
ROW,ROW,4,351148.46875
USA,ROW,4,7140.2529296875
BRA,USA,4,373.0748520000001
CHN,USA,4,166.336557
EU,USA,4,696.3472290039063
IND,USA,4,18.358154
JPN,USA,4,8.163637
ROW,USA,4,6004.28564453125
USA,USA,4,58269.92174200001
BRA,BRA,5,2681.180552999999
CHN,BRA,5,.214767
EU,BRA,5,92.68319702148438
IND,BRA,5,.281184
JPN,BRA,5,.5092530000000001
ROW,BRA,5,44.29974365234375
USA,BRA,5,14.352322
BRA,CHN,5,.581375
CHN,CHN,5,25393.654982
EU,CHN,5,69.43054962158203
IND,CHN,5,4.610021
JPN,CHN,5,6.656939000000001
ROW,CHN,5,174.6336822509766
USA,CHN,5,60.40202999999999
BRA,EU,5,32.67423629760742
CHN,EU,5,129.8682861328125
EU,EU,5,10752.7880859375
IND,EU,5,80.34815979003906
JPN,EU,5,91.09833526611328
ROW,EU,5,2218.96923828125
USA,EU,5,944.1536254882813
BRA,IND,5,.310043
CHN,IND,5,7.195467999999998
EU,IND,5,37.57183837890625
IND,IND,5,16813.111967
JPN,IND,5,2.133521
ROW,IND,5,134.0207977294922
USA,IND,5,26.89578600000001
BRA,JPN,5,.5735640000000002
CHN,JPN,5,17.641208
EU,JPN,5,53.17300415039063
IND,JPN,5,2.699563
JPN,JPN,5,1278.553263
ROW,JPN,5,160.6206207275391
USA,JPN,5,75.05706799999999
BRA,ROW,5,16.91797065734863
CHN,ROW,5,222.2271270751953
EU,ROW,5,2062.046875
IND,ROW,5,122.4497146606445
JPN,ROW,5,145.6990203857422
ROW,ROW,5,179608.625
USA,ROW,5,1101.652709960938
BRA,USA,5,11.742245
CHN,USA,5,58.66754899999999
EU,USA,5,415.7765197753906
IND,USA,5,31.643023
JPN,USA,5,33.363948
ROW,USA,5,626.5797729492188
USA,USA,5,83736.86486800002
BRA,BRA,6,193004.494989
CHN,BRA,6,725.0474060000001
EU,BRA,6,2485.935302734375
IND,BRA,6,316.707892
JPN,BRA,6,22.73801
ROW,BRA,6,5135.5634765625
USA,BRA,6,474.786387
BRA,CHN,6,2952.44618
CHN,CHN,6,1752234.832321
EU,CHN,6,14106.615234375
IND,CHN,6,1344.827476
JPN,CHN,6,1368.416799
ROW,CHN,6,41265.890625
USA,CHN,6,5663.235126
BRA,EU,6,4859.60107421875
CHN,EU,6,8730.948608398438
EU,EU,6,1124446.75
IND,EU,6,5243.12548828125
JPN,EU,6,437.6934814453125
ROW,EU,6,67967.15625
USA,EU,6,5756.00830078125
BRA,IND,6,2162.111269
CHN,IND,6,426.941023
EU,IND,6,1103.897216796875
IND,IND,6,229347.996028
JPN,IND,6,24.277918
ROW,IND,6,18472.94921875
USA,IND,6,424.933304
BRA,JPN,6,1152.470335
CHN,JPN,6,7675.628089999999
EU,JPN,6,6578.8759765625
IND,JPN,6,796.931967
JPN,JPN,6,294611.3713450001
ROW,JPN,6,20300.66015625
USA,JPN,6,4855.785616
BRA,ROW,6,18681.072265625
CHN,ROW,6,29972.12841796875
EU,ROW,6,68973.921875
IND,ROW,6,15584.6572265625
JPN,ROW,6,2947.509033203125
ROW,ROW,6,1915367.375
USA,ROW,6,41148.63671875
BRA,USA,6,1368.995124
CHN,USA,6,7036.910398
EU,USA,6,19282.787109375
IND,USA,6,4301.963192000001
JPN,USA,6,846.807595
ROW,USA,6,50704.96875
USA,USA,6,870837.3897190001
BRA,BRA,7,46375.02316100001
CHN,BRA,7,3517.644035
EU,BRA,7,343.1184692382813
IND,BRA,7,401.467542
JPN,BRA,7,15.529797
ROW,BRA,7,1801.545532226563
USA,BRA,7,188.323554
BRA,CHN,7,728.424571
CHN,CHN,7,1076263.71753
EU,CHN,7,7726.22265625
IND,CHN,7,2733.32869
JPN,CHN,7,1873.303297000001
ROW,CHN,7,24061.322265625
USA,CHN,7,1277.408604
BRA,EU,7,490.6607055664063
CHN,EU,7,50457.7861328125
EU,EU,7,189364.625
IND,EU,7,10459.505859375
JPN,EU,7,421.5142211914063
ROW,EU,7,59991.77734375
USA,EU,7,1517.031616210938
BRA,IND,7,19.822035
CHN,IND,7,5929.756786000001
EU,IND,7,633.3831787109375
IND,IND,7,138849.481496
JPN,IND,7,102.751285
ROW,IND,7,3126.593505859375
USA,IND,7,145.720569
BRA,JPN,7,20.979493
CHN,JPN,7,24420.150244
EU,JPN,7,2848.565185546875
IND,JPN,7,487.4245220000001
JPN,JPN,7,28079.93651
ROW,JPN,7,10300.7529296875
USA,JPN,7,247.532623
BRA,ROW,7,1753.656982421875
CHN,ROW,7,116555.7978515625
EU,ROW,7,29426.07421875
IND,ROW,7,13663.287109375
JPN,ROW,7,2361.909423828125
ROW,ROW,7,561272.375
USA,ROW,7,8647.0927734375
BRA,USA,7,392.105615
CHN,USA,7,62042.73452599999
EU,USA,7,7420.4169921875
IND,USA,7,9125.814913
JPN,USA,7,478.8619460000001
ROW,USA,7,55078.359375
USA,USA,7,56556.392506
BRA,BRA,8,6969.889324000001
CHN,BRA,8,30.244729
EU,BRA,8,49.10070419311523
IND,BRA,8,13.36399
JPN,BRA,8,2.639615
ROW,BRA,8,43.34518432617188
USA,BRA,8,29.142867
BRA,CHN,8,137.49164
CHN,CHN,8,204926.170248
EU,CHN,8,1517.107788085938
IND,CHN,8,131.820839
JPN,CHN,8,180.040091
ROW,CHN,8,7868.60693359375
USA,CHN,8,1602.933135
BRA,EU,8,303.3886108398438
CHN,EU,8,2123.66032409668
EU,EU,8,131956.671875
IND,EU,8,335.2888793945313
JPN,EU,8,45.34677505493164
ROW,EU,8,5953.0078125
USA,EU,8,1118.023315429688
BRA,IND,8,42.63844000000001
CHN,IND,8,186.196811
EU,IND,8,343.5276184082031
IND,IND,8,13118.624923
JPN,IND,8,6.367280999999998
ROW,IND,8,1005.363037109375
USA,IND,8,70.93523600000002
BRA,JPN,8,68.245582
CHN,JPN,8,1080.178651
EU,JPN,8,1154.797973632813
IND,JPN,8,44.434013
JPN,JPN,8,19788.36029300001
ROW,JPN,8,4409.92919921875
USA,JPN,8,274.447299
BRA,ROW,8,584.6077270507813
CHN,ROW,8,4830.181457519531
EU,ROW,8,10693.140625
IND,ROW,8,1570.639038085938
JPN,ROW,8,257.2283935546875
ROW,ROW,8,148142.84375
USA,ROW,8,3119.66943359375
BRA,USA,8,915.363039
CHN,USA,8,3950.297125000001
EU,USA,8,2079.475830078125
IND,USA,8,1253.816411
JPN,USA,8,85.609302
ROW,USA,8,11368.23828125
USA,USA,8,105645.277505
BRA,BRA,9,27652.231338
CHN,BRA,9,84.55288
EU,BRA,9,509.9559631347656
IND,BRA,9,10.595479
JPN,BRA,9,15.741299
ROW,BRA,9,368.655029296875
USA,BRA,9,226.038374
BRA,CHN,9,1839.53404
CHN,CHN,9,412068.7189009999
EU,CHN,9,3069.892578125
IND,CHN,9,55.626907
JPN,CHN,9,1569.348317
ROW,CHN,9,8719.728515625
USA,CHN,9,2272.942814
BRA,EU,9,1433.387817382813
CHN,EU,9,1526.3515625
EU,EU,9,264931.4375
IND,EU,9,224.8382415771484
JPN,EU,9,236.4390258789063
ROW,EU,9,7343.97802734375
