iso_o,input_ind,output_ind,valueshare
BRA,1,1,.10707795
CHN,1,1,.36611274
EU,1,1,.22490732
IND,1,1,.378346
JPN,1,1,.19974285
ROW,1,1,.39883628
USA,1,1,.33015269
BRA,2,1,.0009529675
CHN,2,1,.00074293476
EU,2,1,.00023270003
IND,2,1,.000049991704
JPN,2,1,.00020979995
ROW,2,1,.003423101
USA,2,1,.00013359996
BRA,3,1,.00056928064
CHN,3,1,.0014965686
EU,3,1,.0031700004
IND,3,1,.00039843388
JPN,3,1,.00010329998
ROW,3,1,.0081910016
USA,3,1,.0032730987
BRA,4,1,.003026997
CHN,4,1,.000049995608
EU,4,1,.0017835002
IND,4,1,.000049991704
JPN,4,1,.000066099987
ROW,4,1,.0045027011
USA,4,1,.0041387985
BRA,5,1,.00022619229
CHN,5,1,.000049995608
EU,5,1,.00014720001
IND,5,1,.0022277304
JPN,5,1,.000081299979
ROW,5,1,.0013854003
USA,5,1,.000068699977
BRA,6,1,.085945271
CHN,6,1,.1834278
EU,6,1,.13655652
IND,6,1,.044642691
JPN,6,1,.095839076
ROW,6,1,.10361702
USA,6,1,.12002326
BRA,7,1,.0040286626
CHN,7,1,.00080582924
EU,7,1,.0024063003
IND,7,1,.010432369
JPN,7,1,.0026660992
ROW,7,1,.0030920007
USA,7,1,.0012912996
BRA,8,1,.0047783372
CHN,8,1,.000050895527
EU,8,1,.0051077004
IND,8,1,.0052922219
JPN,8,1,.0011781998
ROW,8,1,.0026483007
USA,8,1,.0012881996
BRA,9,1,.0035945775
CHN,9,1,.00048125771
EU,9,1,.0031460004
IND,9,1,.0034938203
JPN,9,1,.036921993
ROW,9,1,.0035911009
USA,9,1,.0016938994
BRA,10,1,.087893106
CHN,10,1,.010979335
EU,10,1,.031936303
IND,10,1,.054456461
JPN,10,1,.023722395
ROW,10,1,.04211631
USA,10,1,.027276391
BRA,11,1,.30150303
CHN,11,1,.16402979
EU,11,1,.071634911
IND,11,1,.051745214
JPN,11,1,.077494688
ROW,11,1,.083561525
USA,11,1,.085345469
BRA,12,1,.015127884
CHN,12,1,.016033892
EU,12,1,.0064664008
IND,12,1,.0097336853
JPN,12,1,.0045781992
ROW,12,1,.0068924017
USA,12,1,.0033040987
BRA,13,1,.0051880232
CHN,13,1,.019922448
EU,13,1,.0097713005
IND,13,1,.0028891205
JPN,13,1,.014130796
ROW,13,1,.007950902
USA,13,1,.0047629983
BRA,14,1,.025723623
CHN,14,1,.00083272683
EU,14,1,.0054397006
IND,14,1,.0019252806
JPN,14,1,.0039734989
ROW,14,1,.0022823005
USA,14,1,.0005389998
BRA,15,1,.0046717408
CHN,15,1,.00062194536
EU,15,1,.0021294001
IND,15,1,.005813235
JPN,15,1,.0015133996
ROW,15,1,.0021895005
USA,15,1,.00075679971
BRA,16,1,.0055836095
CHN,16,1,.0018253396
EU,16,1,.010014101
IND,16,1,.011501391
JPN,16,1,.0025684992
ROW,16,1,.0059340014
USA,16,1,.0068597975
BRA,17,1,.00032198904
CHN,17,1,.00079443021
EU,17,1,.0018630002
IND,17,1,.0023470104
JPN,17,1,.0017544995
ROW,17,1,.0013522004
USA,17,1,.0010480996
