industry,\theta,\psi
1,6.23 ,0.14 
2,6.23 ,0.14 
3,5.28 ,0.17 
4,5.28 ,0.17 
5,5.28 ,0.17 
6,2.30 ,0.39 
7,3.36 ,0.22 
8,3.90 ,0.23 
9,2.65 ,0.32 
10,0.64 ,1.22 
11,3.97 ,0.23 
12,3.97 ,0.23 
13,5.16 ,0.14 
14,5.28 ,0.17 
15,3.00 ,0.21 
16,3.00 ,0.21 
17,1.24 ,0.55 
18,1.24 ,0.55 
19,7.75 ,0.12 
20,2.81 ,0.13 
21,2.81 ,0.13 
22,6.17 ,0.15 
23,10.00 ,0.00 
24,10.00 ,0.00 
25,10.00 ,0.00 
26,10.00 ,0.00 
27,10.00 ,0.00 
28,10.00 ,0.00 
29,10.00 ,0.00 
30,10.00 ,0.00 
31,10.00 ,0.00 
32,10.00 ,0.00 
33,10.00 ,0.00 
34,10.00 ,0.00 
35,10.00 ,0.00 
36,10.00 ,0.00 
37,10.00 ,0.00 
38,10.00 ,0.00 
39,10.00 ,0.00 
40,10.00 ,0.00 
41,10.00 ,0.00 
42,10.00 ,0.00 
43,10.00 ,0.00 
44,10.00 ,0.00 
