iso_o,input_ind,finalshare
BRA,1,.023751795
CHN,1,.035594441
EU,1,.014558981
IND,1,.083337173
JPN,1,.0083449427
ROW,1,.044540949
USA,1,.0057028979
BRA,2,.0034223679
CHN,2,.0052696872
EU,2,.0007469824
IND,2,.0092359986
JPN,2,.00093107048
ROW,2,.0055872556
USA,2,.00018107139
BRA,3,.0015833991
CHN,3,.00070853106
EU,3,.001766644
IND,3,.00026565377
JPN,3,.000099975354
ROW,3,.0031229174
USA,3,.0024217921
BRA,4,.00031587039
CHN,4,.0001573847
EU,4,.00062624877
IND,4,.00010013334
JPN,4,.000099975354
ROW,4,.0005674006
USA,4,.00052809983
BRA,5,.00010117565
CHN,5,.00009999027
EU,5,.00010036038
IND,5,.00010013334
JPN,5,.000099975354
ROW,5,.0015130013
USA,5,.0038218175
BRA,6,.073895663
CHN,6,.075725831
EU,6,.047062397
IND,6,.077094562
JPN,6,.049214669
ROW,6,.067401417
USA,6,.031865161
BRA,7,.020355532
CHN,7,.02013774
EU,7,.014029881
IND,7,.036576506
JPN,7,.0096478211
ROW,7,.020099346
USA,7,.0076815709
BRA,8,.00037799226
CHN,8,.00061184051
EU,8,.0016284477
IND,8,.0014841764
JPN,8,.00021764635
ROW,8,.00092003838
USA,8,.00087833137
BRA,9,.0030212065
CHN,9,.0035447553
EU,9,.0033763242
IND,9,.0021169188
JPN,9,.0016605905
ROW,9,.0039813649
USA,9,.0022845622
BRA,10,.021830572
CHN,10,.0048984238
EU,10,.010828885
IND,10,.012499945
JPN,10,.011186442
ROW,10,.016030729
USA,10,.0096695526
BRA,11,.017266134
CHN,11,.0028656214
EU,11,.0077171116
IND,11,.0080331974
JPN,11,.0059883241
ROW,11,.0084503237
USA,11,.0059963753
BRA,12,.0092605073
CHN,12,.011353895
EU,12,.0091203507
IND,12,.0063185142
JPN,12,.0080627128
ROW,12,.0062231915
USA,12,.014160504
BRA,13,.0029829619
CHN,13,.00097170548
EU,13,.0040147165
IND,13,.0064565982
JPN,13,.0047835209
ROW,13,.0037191007
USA,13,.0027324862
BRA,14,.00068475684
CHN,14,.00093850872
EU,14,.0024284201
IND,14,.00088607991
JPN,14,.00077380927
ROW,14,.0026640054
USA,14,.00097972737
BRA,15,.001494061
CHN,15,.00049255212
EU,15,.0011989052
IND,15,.0028666172
JPN,15,.0010444425
ROW,15,.002595068
USA,15,.0005981662
BRA,16,.0032880066
CHN,16,.01089224
EU,16,.0074358014
IND,16,.0045017949
JPN,16,.0016238997
ROW,16,.0069465819
USA,16,.00340192
BRA,17,.014447176
CHN,17,.020331522
EU,17,.013067826
IND,17,.017713888
JPN,17,.018143728
ROW,17,.021480009
USA,17,.018335454
BRA,18,.0069429772
CHN,18,.014558983
EU,18,.0074926056
IND,18,.017087054
JPN,18,.013747511
ROW,18,.008671226
USA,18,.0040355199
BRA,19,.010586009
CHN,19,.036553547
EU,19,.01656408
IND,19,.032721974
JPN,19,.029722271
ROW,19,.02058533
USA,19,.011173376
BRA,20,.021427689
CHN,20,.050962642
EU,20,.03115377
IND,20,.041966382
JPN,20,.020621916
ROW,20,.026220089
USA,20,.029179418
BRA,21,.0036127805
CHN,21,.010310497
EU,21,.0087480135
IND,21,.012156188
JPN,21,.0047392314
ROW,21,.010746394
USA,21,.0076042977
BRA,22,.010754771
CHN,22,.0083002923
EU,22,.016548423
IND,22,.0073504881
JPN,22,.014670083
ROW,22,.011174913
USA,22,.011897662
BRA,23,.015234424
CHN,23,.014782862
EU,23,.016242927
IND,23,.016520599
JPN,23,.020116042
ROW,23,.013142802
USA,23,.009153164
BRA,24,.0049077277
CHN,24,.005194495
EU,24,.0069572832
IND,24,.0019144494
JPN,24,.010521006
ROW,24,.0042858976
USA,24,.0039778654
BRA,25,.072439447
CHN,25,.24524634
EU,25,.08396361
IND,25,.15528598
JPN,25,.10104349
ROW,25,.11855262
USA,25,.064085953
BRA,26,.10409316
CHN,26,.045619562
EU,26,.094096698
IND,26,.055103779
JPN,26,.094838522
ROW,26,.091173872
USA,26,.091495104
BRA,27,.02317469
CHN,27,.015033638
EU,27,.01707351
IND,27,.036558583
JPN,27,.017791813
ROW,27,.021796314
USA,27,.011202103
BRA,28,.0016707137
CHN,28,.0021717888
EU,28,.0032561927
IND,28,.0053268936
JPN,28,.0026189543
ROW,28,.0048847981
USA,28,.0018675677
BRA,29,.0027971023
CHN,29,.0026599413
EU,29,.0050027645
IND,29,.0017972934
JPN,29,.003756274
ROW,29,.0090806233
USA,29,.0051817046
BRA,30,.0058621177
CHN,30,.002485858
EU,30,.0089698099
IND,30,.0040259613
JPN,30,.0082250722
ROW,30,.0056494502
USA,30,.0018773769
BRA,31,.00050952064
CHN,31,.0014374602
EU,31,.00093204697
IND,31,.00075029914
JPN,31,.00058905478
ROW,31,.0011089371
USA,31,.00066032505
BRA,32,.039609056
CHN,32,.026226848
EU,32,.041452754
IND,32,.016932147
JPN,32,.043276232
ROW,32,.037699535
USA,32,.038905825
BRA,33,.0018443312
CHN,33,.0048592272
EU,33,.013650418
IND,33,.0064014243
JPN,33,.0058387606
ROW,33,.0072053238
USA,33,.017352024
BRA,34,.01664117
CHN,34,.0084070824
EU,34,.011637892
IND,34,.010929154
JPN,34,.024593437
ROW,34,.017329972
USA,34,.015923673
BRA,35,.013609947
CHN,35,.017759074
EU,35,.018316673
IND,35,.024472788
JPN,35,.021998975
ROW,35,.0094905253
USA,35,.016937332
BRA,36,.051696107
CHN,36,.023091054
EU,36,.032807209
IND,36,.024632001
JPN,36,.038013827
ROW,36,.035843555
USA,36,.054856624
BRA,37,.081653714
CHN,37,.063630611
EU,37,.10786112
IND,37,.070610628
JPN,37,.11830763
ROW,37,.079186097
USA,37,.1164312
BRA,38,.0051963818
CHN,38,.013350102
EU,38,.031122159
IND,38,.001109177
JPN,38,.030571964
ROW,38,.017125977
USA,38,.024521511
BRA,39,.0047717476
CHN,39,.020945862
EU,39,.015326034
IND,39,.0090448447
JPN,39,.0069865775
ROW,39,.0069194091
USA,39,.0077233105
BRA,40,.13044396
CHN,40,.064046271
EU,40,.079861477
IND,40,.075352244
JPN,40,.0701648
ROW,40,.088428646
USA,40,.12362812
BRA,41,.075035214
CHN,41,.045192104
EU,41,.053047791
IND,41,.045576792
JPN,41,.039145451
ROW,41,.052758496
USA,41,.066171229
BRA,42,.07101813
CHN,42,.034365159
EU,42,.10118765
IND,42,.025301691
JPN,42,.1091356
ROW,42,.056531034
USA,42,.11903447
BRA,43,.0056440844
CHN,43,.009806646
EU,43,.018044196
IND,43,.0047801654
JPN,43,.01232896
ROW,43,.011485887
USA,43,.012546375
BRA,44,.020743843
CHN,44,.01840741
EU,44,.018974638
IND,44,.026703158
JPN,44,.014712973
ROW,44,.017079584
USA,44,.021337397
