iso_o,indcode,vashare
BRA,1,.54456002
CHN,1,.46796069
EU,1,.45626029
IND,1,.76422822
JPN,1,.46443561
ROW,1,.60318619
USA,1,.39674449
BRA,2,.88432449
CHN,2,.4789601
EU,2,.47225031
IND,2,.83616871
JPN,2,.52162671
ROW,2,.58775067
USA,2,.7239213
BRA,3,.3685756
CHN,3,.3552857
EU,3,.56954348
IND,3,.55497837
JPN,3,.78149801
ROW,3,.68971503
USA,3,.56978232
BRA,4,.33753619
CHN,4,.31409949
EU,4,.42897061
IND,4,.42439839
JPN,4,.42580169
ROW,4,.59081823
USA,4,.4901877
BRA,5,.38414621
CHN,5,.29326209
EU,5,.3995294
IND,5,.71117848
JPN,5,.3522808
ROW,5,.53398609
USA,5,.49789509
BRA,6,.20390961
CHN,6,.23568819
EU,6,.2492779
IND,6,.169376
JPN,6,.38009831
ROW,6,.2826446
USA,6,.26074949
BRA,7,.36609921
CHN,7,.14857049
EU,7,.35483101
IND,7,.28098211
JPN,7,.36864701
ROW,7,.343225
USA,7,.40033531
BRA,8,.38129291
CHN,8,.21160901
EU,8,.29521239
IND,8,.36296639
JPN,8,.40453699
ROW,8,.33406651
USA,8,.33393201
BRA,9,.32229379
CHN,9,.2411847
EU,9,.31709781
IND,9,.2895911
JPN,9,.39297789
ROW,9,.33456531
USA,9,.35932311
BRA,10,.1505193
CHN,10,.2380954
EU,10,.12570161
IND,10,.1757638
JPN,10,.156464
ROW,10,.2167716
USA,10,.25094569
BRA,11,.2056862
CHN,11,.22898009
EU,11,.292613
IND,11,.29179329
JPN,11,.32988381
ROW,11,.3009463
USA,11,.37247619
BRA,12,.47083271
CHN,12,.30838379
EU,12,.45883879
IND,12,.4547776
JPN,12,.49291229
ROW,12,.40193981
USA,12,.5562107
BRA,13,.272778
CHN,13,.2017732
EU,13,.32585341
IND,13,.27392209
JPN,13,.37741911
ROW,13,.28971139
USA,13,.3300384
BRA,14,.29425189
CHN,14,.29391259
EU,14,.3564541
IND,14,.35151589
JPN,14,.48553839
ROW,14,.35294709
USA,14,.43031111
BRA,15,.18721481
CHN,15,.2122931
EU,15,.2005972
IND,15,.1848989
JPN,15,.25649169
ROW,15,.2486674
USA,15,.28850141
BRA,16,.35168561
CHN,16,.26641589
EU,16,.38301179
IND,16,.2986421
JPN,16,.43373749
ROW,16,.35552749
USA,16,.40566671
BRA,17,.1878926
CHN,17,.1751911
EU,17,.38210449
IND,17,.26723969
JPN,17,.3979179
ROW,17,.31789261
USA,17,.7312429
BRA,18,.23202559
CHN,18,.19646589
EU,18,.35083169
IND,18,.2495548
JPN,18,.39922819
ROW,18,.28822291
USA,18,.49165869
BRA,19,.325499
CHN,19,.20626479
EU,19,.3602995
IND,19,.3279731
JPN,19,.44235909
ROW,19,.33384719
USA,19,.41199711
BRA,20,.1760601
CHN,20,.1880538
EU,20,.2713128
IND,20,.2484667
JPN,20,.24683601
ROW,20,.242338
USA,20,.2240147
BRA,21,.30440691
CHN,21,.21703009
EU,21,.284374
IND,21,.33931699
JPN,21,.30757639
ROW,21,.32298979
USA,21,.4516044
BRA,22,.4058609
CHN,22,.2251541
EU,22,.42544031
IND,22,.2195842
JPN,22,.42718631
ROW,22,.38026151
USA,22,.52338737
BRA,23,.3772108
CHN,23,.31866571
EU,23,.34080681
IND,23,.40171579
JPN,23,.2930609
ROW,23,.40240249
USA,23,.61257142
BRA,24,.60841882
CHN,24,.38292229
EU,24,.4442448
IND,24,.45429999
JPN,24,.84176749
ROW,24,.52209258
USA,24,.54006648
BRA,25,.44817269
CHN,25,.26461121
EU,25,.3919431
IND,25,.36894989
JPN,25,.46021569
ROW,25,.4081066
USA,25,.50717598
BRA,26,.61480749
CHN,26,.68480432
EU,26,.55012858
IND,26,.73711097
JPN,26,.62656838
ROW,26,.62514108
USA,26,.55892032
BRA,27,.4290013
CHN,27,.43465939
EU,27,.46002311
IND,27,.46913189
JPN,27,.70925999
ROW,27,.51309139
USA,27,.50524992
BRA,28,.43442309
CHN,28,.28860551
EU,28,.26300281
IND,28,.37334591
JPN,28,.298915
ROW,28,.31486121
USA,28,.26832539
BRA,29,.2519632
CHN,29,.27995449
EU,29,.26798409
IND,29,.19849519
JPN,29,.2359114
ROW,29,.36211681
USA,29,.5598653
BRA,30,.54187733
CHN,30,.41710469
EU,30,.42176479
IND,30,.44478589
JPN,30,.63232279
ROW,30,.48813409
USA,30,.47542751
BRA,31,.5609194
CHN,31,.45637029
EU,31,.49339801
IND,31,.68308729
JPN,31,.73610932
ROW,31,.51184291
USA,31,.60812563
BRA,32,.48422471
CHN,32,.38716039
EU,32,.52282381
IND,32,.33800191
JPN,32,.43721899
ROW,32,.46204919
USA,32,.52483392
BRA,33,.4261857
CHN,33,.46716771
EU,33,.45286039
IND,33,.38262179
JPN,33,.40095139
ROW,33,.4508141
USA,33,.61742032
BRA,34,.42021441
CHN,34,.39161101
EU,34,.48229179
IND,34,.3676025
JPN,34,.4693355
ROW,34,.52562952
USA,34,.49496669
BRA,35,.66699982
CHN,35,.64653111
EU,35,.5193491
IND,35,.69123989
JPN,35,.57019079
ROW,35,.58794749
USA,35,.67760491
BRA,36,.66226763
CHN,36,.84644377
EU,36,.45506999
IND,36,.67256647
JPN,36,.63169098
ROW,36,.62285352
USA,36,.52496582
BRA,37,.90058303
CHN,37,.80146033
EU,37,.76482707
IND,37,.83453691
JPN,37,.82061619
ROW,37,.7673074
USA,37,.70578891
BRA,38,.58353609
CHN,38,.38739711
EU,38,.53324479
IND,38,.42004961
JPN,38,.62669623
ROW,38,.56726652
USA,38,.62909842
BRA,39,.69647789
CHN,39,.43736431
EU,39,.56193233
IND,39,.51534033
JPN,39,.68888873
ROW,39,.63715541
USA,39,.60542339
BRA,40,.72321743
CHN,40,.68430322
EU,40,.67142349
IND,40,.73913342
JPN,40,.68353349
ROW,40,.64987171
USA,40,.60349017
BRA,41,.80223173
CHN,41,.80418438
EU,41,.78582257
IND,41,.78082973
JPN,41,.82920778
ROW,41,.76290828
USA,41,.75076288
BRA,42,.61243159
CHN,42,.61840731
EU,42,.66570652
IND,42,.59845322
JPN,42,.66180289
ROW,42,.63574022
USA,42,.6026721
BRA,43,.54487199
CHN,43,.63123268
EU,43,.536771
IND,43,.54268932
JPN,43,.58954233
ROW,43,.52781999
USA,43,.61460912
BRA,44,.51071912
CHN,44,.69698519
EU,44,.64603913
IND,44,.61079931
JPN,44,.5648461
ROW,44,.53348178
USA,44,.56668371
