iso_o,tariffARG,tariffAUS,tariffAUT,tariffBEL,tariffBRA,tariffCAN,tariffCHE,tariffCHL,tariffCHN,tariffDEU,tariffDNK,tariffESP,tariffFIN,tariffFRA,tariffGBR,tariffGRC,tariffHUN,tariffIDN,tariffIND,tariffIRL,tariffITA,tariffJPN,tariffKOR,tariffMEX,tariffMYS,tariffNOR,tariffNZL,tariffPHL,tariffPOL,tariffPRT,tariffSGP,tariffSWE,tariffTHA,tariffTUR,tariffTWN,tariffUSA
ARG,0,.0399999991059303,.119999997317791,.1099999994039536,0,.0700000002980232,.5,0,.0399999991059303,.1500000059604645,.0099999997764826,.0299999993294477,.0700000002980232,.0799999982118607,.1500000059604645,.0599999986588955,.0799999982118607,.0199999995529652,.449999988079071,.0299999993294477,.0599999986588955,.0500000007450581,.0599999986588955,.0500000007450581,.0199999995529652,.0900000035762787,.0199999995529652,.0299999993294477,.0199999995529652,.0599999986588955,0,.0700000002980232,.0900000035762787,.0700000002980232,.0399999991059303,.0199999995529652
AUS,.119999997317791,0,.0500000007450581,.0700000002980232,.1299999952316284,.0299999993294477,.1800000071525574,.0599999986588955,.0700000002980232,.0299999993294477,.1700000017881393,.0299999993294477,.0199999995529652,.0299999993294477,.0700000002980232,.0599999986588955,.0299999993294477,.0500000007450581,.1500000059604645,.0399999991059303,.0199999995529652,.2199999988079071,.1500000059604645,.1700000017881393,.0500000007450581,.1000000014901161,0,.0500000007450581,.0399999991059303,.0199999995529652,0,.0399999991059303,.0599999986588955,.0099999997764826,.0399999991059303,.0500000007450581
AUT,.119999997317791,.0399999991059303,0,0,.1400000005960464,.0299999993294477,.0199999995529652,0,.0599999986588955,0,0,0,0,0,0,0,0,.0299999993294477,.1500000059604645,0,0,.0399999991059303,.0799999982118607,.0500000007450581,.0299999993294477,.0199999995529652,.0500000007450581,.0299999993294477,0,0,0,0,.1099999994039536,0,.0500000007450581,.0199999995529652
BEL,.1000000014901161,.0399999991059303,0,0,.0900000035762787,.0399999991059303,.0199999995529652,.0099999997764826,.0599999986588955,0,0,0,0,0,0,0,0,.0700000002980232,.1599999964237213,0,0,.0500000007450581,.1000000014901161,.0799999982118607,.0700000002980232,.0199999995529652,.0399999991059303,.0500000007450581,0,0,.0099999997764826,0,.1099999994039536,.0099999997764826,.0399999991059303,.0099999997764826
BRA,0,.0399999991059303,.119999997317791,.1299999952316284,0,.0299999993294477,.4900000095367432,0,.0399999991059303,.0900000035762787,.1700000017881393,.1400000005960464,.1000000014901161,.0399999991059303,.1800000071525574,.1000000014901161,.0500000007450581,.0399999991059303,.800000011920929,.2000000029802322,.1500000059604645,.0799999982118607,.119999997317791,.0599999986588955,.0599999986588955,.2599999904632568,.0199999995529652,.0900000035762787,.0500000007450581,.1800000071525574,0,.119999997317791,.0799999982118607,.0799999982118607,.0399999991059303,.0199999995529652
CAN,.1000000014901161,.0199999995529652,.0199999995529652,.0199999995529652,.0799999982118607,0,.0599999986588955,.0599999986588955,.0500000007450581,.0199999995529652,.0900000035762787,.0199999995529652,.0500000007450581,.0199999995529652,.0099999997764826,.0199999995529652,.0399999991059303,.0199999995529652,.1299999952316284,.0099999997764826,.0099999997764826,.119999997317791,.0700000002980232,0,.0299999993294477,0,.0099999997764826,.0599999986588955,.0299999993294477,.0199999995529652,0,.0299999993294477,.1299999952316284,.0199999995529652,.0399999991059303,0
CHE,.0900000035762787,.0199999995529652,.0099999997764826,.0099999997764826,.0900000035762787,.0500000007450581,0,.0599999986588955,.0500000007450581,.0099999997764826,0,0,0,.0099999997764826,0,0,0,.0599999986588955,.1500000059604645,0,0,.0099999997764826,.0700000002980232,.119999997317791,.0900000035762787,.0099999997764826,.0199999995529652,.0199999995529652,0,.0099999997764826,0,0,.0700000002980232,0,.0399999991059303,.0199999995529652
CHL,.0900000035762787,.0199999995529652,.0199999995529652,.0099999997764826,.0700000002980232,0,.0299999993294477,0,.0199999995529652,.0199999995529652,.0700000002980232,.0299999993294477,.0399999991059303,.0099999997764826,.0399999991059303,0,.0399999991059303,.0299999993294477,.1899999976158142,.0599999986588955,0,.0900000035762787,.0500000007450581,0,.0500000007450581,0,.0399999991059303,.0500000007450581,.0399999991059303,.0099999997764826,0,.0700000002980232,.2300000041723251,0,.0099999997764826,0
CHN,.1299999952316284,.0700000002980232,.0299999993294477,.0299999993294477,.119999997317791,.0500000007450581,0,.0599999986588955,.0399999991059303,.0299999993294477,.0399999991059303,.0500000007450581,.0299999993294477,.0399999991059303,.0399999991059303,.0399999991059303,.0299999993294477,.0599999986588955,.1299999952316284,.0199999995529652,.0399999991059303,.0399999991059303,.0599999986588955,.1099999994039536,.0799999982118607,.0199999995529652,.0599999986588955,.0500000007450581,.0500000007450581,.0399999991059303,0,.0399999991059303,.1099999994039536,.0399999991059303,.0299999993294477,.0299999993294477
DEU,.1099999994039536,.0500000007450581,0,0,.119999997317791,.0299999993294477,.0099999997764826,0,.0900000035762787,0,0,0,0,0,0,0,0,.0599999986588955,.1599999964237213,0,0,.0099999997764826,.0799999982118607,.0700000002980232,.0900000035762787,.0099999997764826,.0599999986588955,.0299999993294477,0,0,0,0,.119999997317791,0,.0900000035762787,.0199999995529652
