iso_o,xtr2001ARG,xtr2001AUS,xtr2001AUT,xtr2001BEL,xtr2001BRA,xtr2001CAN,xtr2001CHE,xtr2001CHL,xtr2001CHN,xtr2001DEU,xtr2001DNK,xtr2001ESP,xtr2001FIN,xtr2001FRA,xtr2001GBR,xtr2001GRC,xtr2001HUN,xtr2001IDN,xtr2001IND,xtr2001IRL,xtr2001ITA,xtr2001JPN,xtr2001KOR,xtr2001MEX,xtr2001MYS,xtr2001NOR,xtr2001NZL,xtr2001PHL,xtr2001POL,xtr2001PRT,xtr2001SGP,xtr2001SWE,xtr2001THA,xtr2001TUR,xtr2001TWN,xtr2001USA
ARG,76469.640625,61.15241299999998,17.639451,175.303192,3677.026080000001,123.4893970000001,20.669027,859.1158340000002,221.548654,401.8303469999999,255.7544230000001,557.998031,13.01865800000001,261.6025320000002,264.3366279999998,41.370433,12.326874,22.81376799999999,48.67299099999998,28.00470200000001,664.9178519999994,149.0349820000001,66.26554899999998,483.6304510000003,129.126637,21.594578,4.691800000000002,89.61198199999998,38.979911,86.67190499999995,30.64751300000001,19.34334400000002,232.0291679999999,35.565901,51.23702621459961,1637.561049999999
AUS,30.02119399999999,94108.9765625,45.862844,292.4166739999999,96.39925300000007,529.7282379999998,106.981395,52.998747,2267.058056999999,575.838344,45.80424700000001,187.7076309999999,20.02566000000001,429.1401959999999,1945.693777,38.04549800000003,23.303247,1319.457826,466.1432369999995,149.841648,1039.40767,3372.548287000001,2344.949041999997,182.036986,1139.139837,67.10207300000005,2818.948301000002,493.3701090000004,32.10711500000001,16.049532,1465.097781000001,53.86676199999997,1138.505830000001,145.9165830000001,1299.138305664063,3798.945753999998
AUT,81.54460699999996,257.1167349999999,53080.21484375,1208.987837,255.4417309999999,518.3687479999996,3448.846514999997,40.15331800000002,731.8340300000002,19441.50134900001,484.4146289999996,1609.917739,343.2911720000001,2619.064708999999,2730.530917,288.292457,2513.017032000002,117.7916729999999,106.867528,180.1458160000001,5182.326002999994,887.9862770000004,279.3462740000002,217.923267,96.64061499999998,281.8791909999999,45.400847,74.37873200000001,961.9384320000005,281.242667,309.043858,633.2201510000001,91.87395699999985,419.9682619999996,228.7844390869141,3967.954112000002
BEL,212.250511,767.7327419999998,1875.269354999999,195617.53125,815.0425919999999,725.1746930000005,2362.961636000001,114.422496,1680.152385,28883.29683299998,1358.958251,6765.048044999996,944.8687309999993,28982.35928800001,17566.86523600001,1100.769814,808.5378410000004,209.1537899999999,2683.927540000005,1362.970588,9572.488532999996,1761.429143999999,497.8970189999991,604.4178239999993,314.2264600000001,580.6276729999994,133.7568339999999,107.638916,1430.722433,1316.087437,587.8469630000001,2428.390180000004,552.8269870000006,1127.731176,816.6878662109375,9591.588448999993
BRA,4728.378454000002,260.810794,133.421849,1424.337085,260042.625,912.8702460000001,417.2570379999999,1288.385060999999,961.6558770000005,2153.883211,132.273246,564.6074689999999,75.22362199999999,1807.544071000001,1428.282305,135.939574,219.014021,175.7579049999999,151.4925480000001,323.7282210000001,1389.803496999999,1340.068308000001,618.3533490000001,1976.396624999999,140.6237289999999,52.68592400000001,27.615128,52.56362600000001,305.739346,291.0790790000001,193.308578,197.4687430000002,246.875594,159.9540720000001,411.6714172363281,12991.661199
CAN,191.633987,770.4649689999997,343.1982370000001,1008.267396,807.6136700000005,226505.328125,258.4211950000001,341.1611030000002,3166.862652999997,2416.27144,316.386827,502.5981480000004,116.019699,1575.098475,4098.725630000004,142.835844,65.697301,276.6010289999998,332.3507880000005,384.3545030000002,1088.737445999999,4419.011893000001,1322.406432,3503.418601000002,210.0956860000001,428.2203179999991,159.8402699999999,121.885691,111.371827,66.276523,382.1095289999998,248.8306090000003,272.7636860000002,102.344761,748.2201538085938,167089.0264359998
CHE,201.4370140000002,666.1009589999999,2634.453030999999,1568.914753999999,926.4572809999994,880.178394,61327.2109375,108.969129,1489.708232,17609.34126499998,647.4267819999998,2570.355996999998,469.3582590000002,7281.394550999996,3901.959263,538.5791950000005,440.174956,172.6724560000001,3351.172834000004,385.7859899999996,7642.127124000003,3226.745717999997,838.1921979999994,771.1172699999995,957.7824020000013,421.7261790000003,96.11016799999985,150.986844,717.1896609999999,558.7159620000003,1943.387034,947.8316619999994,832.541371000001,1221.963225000001,1108.8818359375,8958.703389000006
CHL,496.8061039999998,33.85864800000001,26.075464,229.9572889999999,602.637106,139.4619179999999,163.3375740000002,21895.98046875,945.7537210000003,352.8044409999999,44.07443800000001,222.227851,13.870957,683.7269659999992,1158.194381,40.728029,.656128,45.00352999999998,12.58228,26.73209,810.6734849999997,774.6139420000005,479.5510759999995,797.0425269999996,22.440171,48.09587699999999,8.505263000000003,6.850636000000002,3.294355,20.91141099999999,25.80696900000001,32.91442100000003,44.49133899999998,75.45471099999997,484.9324340820313,2158.309649
CHN,1064.003574000001,5171.029038000005,1174.359275,3744.97672,1203.56548,8001.817858,1302.537689999999,1000.5984,1555681.125,17079.865107,1280.970528,4317.212705000006,966.990241,9424.981223000008,13703.66697200001,816.8161970000009,1310.866086,2311.950630999999,1537.655378999999,953.2195280000001,6446.054815000008,51305.65057900004,10626.294998,3827.425265000001,3335.675318000001,971.609423000001,892.0548699999996,1365.122123,1486.469913,298.9059759999998,6518.952386999998,1034.913988999999,3562.745458999997,851.0409960000009,7425.48974609375,106420.4655210001
DEU,1038.321551,3364.128231999997,26382.357163,27533.22912900001,4774.036830000001,5075.797334000007,24224.36186000001,667.3020030000001,13647.511341,760112.875,8876.423975999998,23238.202549,5283.263788,57546.34750000002,43261.735745,4566.086458999998,7582.719008,1287.318370000002,1952.952257,3292.063840999999,39494.52035800002,12061.802549,4470.213844999993,6013.878065000003,2656.393418,4192.653189,650.124354,881.0394570000001,12800.659136,5353.467879000001,3758.587747,10536.137889,2479.724449000002,5318.541700000001,3897.47998046875,56799.45979399999
DNK,68.221141,251.210221,374.503482,672.2194649999988,183.4540950000002,344.6587549999999,618.4669769999996,64.37520799999999,584.8328549999997,7130.092276999999,40678.1953125,788.5122590000002,931.8904610000001,1651.138468,3014.965692,280.0115880000002,173.428313,68.03260399999999,141.116768,630.4764340000005,1008.29966,959.3892289999999,286.5245199999998,152.7795759999998,92.42963399999998,2424.605842999996,57.83394900000003,49.910222,772.5726989999999,135.8406540000001,174.3470079999998,4383.656859000002,196.1936799999999,190.85881,129.0712280273438,2990.155953
ESP,697.3762090000001,362.2537779999998,931.7127550000002,2944.958293999997,1141.818142999999,471.4665119999999,1311.782735999999,466.1300319999999,640.6268439999991,11755.80894600002,662.7791329999998,261831.1875,507.8670960000007,19977.703232,9268.400771999999,1144.955671,597.419696,183.833643,184.2161929999999,676.330357,8742.482977000018,1039.971403000001,308.320997,1943.509073000001,153.7620129999999,413.993513,66.84991399999997,113.271108,1044.116643,10064.65145900001,374.3104539999999,1043.158030000001,192.127811,1014.572044,263.349609375,4723.256760000001
FIN,80.68878099999999,376.7546009999997,706.133269,1026.701316999999,405.0164650000001,384.4397039999998,682.0554190000003,86.06059000000003,2368.096083000003,5330.06199,1064.859584,1123.319339,62700.9375,2155.928828999998,3953.525801000002,310.3251159999997,355.208455,91.50166300000002,206.732876,464.3801030000001,1571.523182,851.3998629999996,378.0995700000003,246.6180140000003,147.1086170000001,1102.075824,80.04716499999995,364.8720279999999,832.2484860000002,240.7049840000002,258.945213,3029.589705999998,404.225149,301.5522800000002,375.6368103027344,3908.25559
FRA,719.635121,1327.926490999999,2756.131831,21497.396796,2361.909176999999,3439.572182000003,7783.722248999997,935.6070480000003,3984.594909999999,38780.75156800001,2320.03382,25358.28807900002,1534.881898,571060.375,25550.876298,1927.126883999997,1525.748177000002,435.226233,862.3097229999995,2354.331468000001,22670.46349999999,5851.893475000004,2100.981102000001,1532.847518,1105.292943999999,1631.199588,254.3196639999998,442.7194579999997,3303.701790000001,3630.756527,2065.490075000001,4152.084494000001,901.7739910000001,2182.438313999999,1583.373413085938,28367.14436300004
GBR,406.5465539999998,3223.163828000002,1681.31287,12552.02279099999,1209.989721999999,4549.871093000001,4991.176186999998,193.0780029999999,3353.354695,28882.290253,3156.078168999996,10765.592744,1989.351495999998,22619.317698,487088.90625,1524.105252000001,976.9569209999997,641.6878629999993,2719.162857999998,18326.10191100001,11139.63389400001,5682.132992999998,2328.334061000002,1316.211363000001,1747.7368,2367.506730000005,502.476142,550.7261919999996,2018.191418000001,1852.856799999999,2348.214132000001,4909.909432999998,948.3676869999999,1831.329397000001,1547.725219726563,36138.487902
GRC,8.534703999999998,44.28756199999997,102.045046,278.771318,21.05447099999999,66.70007400000004,102.687107,6.841382999999998,37.395502,1124.476373,86.72739999999999,237.5254260000002,65.81563900000002,340.736457,732.170723,41648.44140625,42.07483000000001,22.247347,46.18722499999998,39.591927,742.2468169999994,65.77986600000003,34.70965899999999,22.49490400000001,9.679009999999998,45.20210899999999,4.808511999999999,3.359590000000001,80.87547300000001,60.71776300000003,16.977596,93.18011999999996,19.12747000000001,232.2678890000001,20.5156364440918,459.393142
HUN,22.510143,50.61381100000001,1976.059301,1397.144516000002,99.34069800000005,106.868201,350.976683,8.760813000000001,160.676296,10285.880136,162.654009,670.463824,175.373334,1720.384693,1299.618593,105.833394,26760.90234375,8.710592,27.67223,370.0046679999996,1617.870362,312.2219109999998,75.89062200000001,107.435131,56.864568,105.276598,8.416428999999995,56.03292700000001,739.3339999999999,194.2377040000001,165.066689,286.2808870000001,22.18195300000001,187.2565509999999,78.17729187011719,2964.516525999999
IDN,94.31933800000002,976.1945140000008,146.135872,813.9349360000004,183.0741089999999,524.7428820000002,129.7849629999999,56.522586,2901.349330000002,1828.394681,148.0459430000001,825.2143310000002,80.94952800000002,1072.924971999999,1728.773900999999,106.2705999999999,114.53129,92651.4609375,394.7742229999998,102.298125,739.0903059999998,5894.775233999999,1327.685425000001,421.0859599999996,1861.722966000001,88.23836699999998,140.4323609999999,542.7341740000005,148.5679069999999,89.26284900000003,4124.432194000001,76.79064699999998,1019.277463000001,135.262272,1153.953979492188,9433.358936000002
IND,140.729531,351.5759609999998,177.10812,1438.058796999999,281.7798160000002,672.2660259999994,401.9457890000002,75.692894,904.664963000001,2089.936657000001,189.864592,725.1887469999997,87.66339499999999,1178.798640000001,2348.852524,94.7204059999999,65.31624800000002,416.232011,263162.46875,132.924172,1317.499998999998,1098.601126,699.0086379999998,363.3244369999999,573.5878139999991,86.51061600000003,73.61775900000008,159.271306,135.93052,146.4832480000001,978.8810570000004,200.065081,582.2911549999997,345.600683,382.7085571289063,9064.033825999993
IRL,81.29379399999999,714.4249969999997,744.6572939999998,4933.910547999993,249.3995790000001,930.870485,3143.058363999997,43.39686600000001,613.6816510000003,13385.562593,509.7063460000002,2027.745625000001,273.757687,4892.430576999999,17414.10527200002,277.1198419999999,187.741298,75.17163200000007,85.73415599999998,26975.79296875,3097.587161000003,3529.371201000003,746.0786810000002,584.192831,1026.421127000001,432.5901399999998,65.28557299999999,691.712048,275.4082040000001,231.7718870000001,529.6922299999999,1107.869658,167.786153,376.0261479999997,314.9718933105469,17904.06866999999
ITA,808.6990719999995,1724.545695,4737.660988999998,7452.662660999999,2265.832949999999,2501.572604000003,8132.732290999998,433.7751779999995,3739.597437999998,33459.62492,1829.094940000001,13488.72026600001,1136.288385,28155.09486499998,15607.72058700001,4356.126346999999,2610.784264000002,447.538012,854.3258649999993,1394.968681000001,674367.8125,5209.087626999999,1801.310968,2069.546316,988.0764900000001,1043.757999,300.7364790000001,227.55536,3989.659326,3138.562319,1464.642460000001,2143.431148000003,649.4681649999991,3443.303235000003,1005.759155273438,23572.949453
JPN,765.7098279999999,7449.135516999996,1573.438702000001,5083.254595999998,3021.987085,9409.869274000001,2011.419047000001,545.7938509999998,42082.22408099995,20209.536494,612.5316799999995,3871.303189999999,1377.706323,9820.313744999999,13246.089734,867.7063039999999,1541.457123,6201.070443999999,1794.052471000002,1659.821823000002,5589.894073999992,2147216.75,25620.85292299997,7830.840415000002,13828.801209,1223.416756000001,1451.468634999998,7693.820139000004,958.484494,728.7371620000004,15839.168047,1426.863406,13577.675632,1312.99089,32320.228515625,124948.654633
KOR,409.3370939999996,2260.824303999999,339.924044,767.4776249999995,1528.503397,2889.798750999999,436.2388520000004,523.8656259999998,21232.76774300001,4323.712577,313.2999970000001,1802.149272000001,531.3693799999996,1989.647393999999,3985.662466000003,1223.147920999999,413.011825,2908.643884,1368.577914,709.6986900000002,2097.785153999999,12784.35989200001,417036.125,3468.567613999999,2884.064706999999,452.052359,280.2123910000001,2330.005696000001,511.4736899999998,262.1332269999999,3775.399742,396.28256,2074.466712999999,768.9721469999998,7052.67431640625,34887.14133499999
MEX,437.8185610000002,313.3926539999999,135.016287,625.1910449999995,703.9518689999995,7338.968103999998,114.360318,530.4678239999997,721.7423379999999,1493.793472999999,37.02513200000002,292.74797,32.54394700000001,498.468515,1036.894163,12.320641,121.898236,32.003159,52.21527500000001,223.130567,236.180106,1236.016585,242.9753789999999,244087.96875,152.687436,39.87057000000001,70.94476300000005,30.235089,79.441593,20.877036,355.9263779999999,34.29744200000001,122.81784,30.46531199999998,278.1121826171875,122682.3068320001
